number,abbr,ady,ýygnaklaryň_jemi,gatnaşyjylaryň_jemi,talyplar,mugallymlar,ene-atalar,pudak_edaralar,ýaş(0-17),ýaş(18-29),ýaş(30-59),60+,zenan,erkek,tema_sany,teklip_sany,tema-1,tema-2,tema-3,tema-4,tema-5,tema-6,tema-7,tema-8,tema-9,tema-10,tema-11,tema-12,tema-13,tema-14,tema-15,tema-16,tema-17,tema-1-teklip-sany,tema-2-teklip-sany,tema-3-teklip-sany,tema-4-teklip-sany,tema-5-teklip-sany,tema-6-teklip-sany,tema-7-teklip-sany,tema-8-teklip-sany,tema-9-teklip-sany,tema-10-teklip-sany,tema-11-teklip-sany,tema-12-teklip-sany,tema-13-teklip-sany,tema-14-teklip-sany,tema-15-teklip-sany,tema-16-teklip-sany,tema-17-teklip-sany
32,,Saparmyrat Türkmenbaşy etrap  häkimliginiň 8-nji hünär-tehniki okuw mekdebi,1,57,42,3,5,7,,28,28,1,18,39,2,2,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,1,,,,1,,
33,,Boldumsaz etrap  häkimliginiň garamagyndaky 9-njy  hünär-tehniki okuw mekdebi,1,29,17,5,2,5,4,12,7,6,21,8,5,3,1,,1,1,,1,,,,,1,,,,,,,,,3,,,,,,,,,,,,,,
34,,Türkmenistanyň Energetika ministrliginiň Mary şäherindäki hünär-tehniki okuw mekdebi,1,25,8,11,3,3,3,5,14,3,14,11,8,8,1,1,1,1,,1,,,,,1,,,,1,,1,1,1,1,1,,1,,,,,1,,,,1,,1
35,,Garagum etrap häkimliginiň garamagyndaky 2-nji hünär-tehniki okuw mekdebi,1,75,60,8,,7,,30,40,5,35,40,2,2,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,1,,,,1,,
36,,S.A. Nyýazow adyndaky Türkmen oba hojalyk uniwersitetiniň  Tagtabazar etrabyndaky hünär-tehniki okuw mekdebi,1,29,20,,,9,,19,10,,,29,2,2,,,,,,1,,,,,,1,,,,,,,,,,,1,,,,,,1,,,,,
37,,Türkmenobahyzmat” döwlet birleşiginiň “Maryobahyzmat” önümçilik birleşiginiň Mary şäherindäki hünär-tehniki okuw mekdebi,1,46,42,2,,2,,24,19,3,21,25,1,1,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
38,,”Türkmenobahyzmat” döwlet birleşiginiň “Maryobahyzmat” önümçilik birleşiginiň Baýramaly etrabyndaky hünär-tehniki okuw mekdebi,1,32,23,9,,,,22,9,1,26,6,1,1,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
39,,Mary welaýatynyň häkimliginiň Sakarçäge etrabyndaky hünär-tehniki okuw mekdebi,1,161,149,9,0,3,0,144,14,3,26,135,3,3,1,,,1,,1,,,,,,,,,,,,1,,,1,,1,,,,,,,,,,,
40,,Mary welaýatynyň häkimliginiň Mary etrabyndaky hünär-tehniki okuw mekdebi,1,41,30,,,11,,30,11,,12,29,4,4,1,1,,,,1,,,,,,1,,,,,,1,1,,,,1,,,,,1,,,,,,
41,,Mary welaýatynyň häkimliginiň Murgap etrabyndaky hünär-tehniki okuw mekdebi,8,268,162,6,80,20,20,32,216,0,170,98,8,8,1,1,1,1,,1,,,,,1,,,,1,,1,1,1,1,1,,1,,,,,1,,,,1,,1
42,,Mary welaýatynyň häkimliginiň Baýramaly şäherindäki hünär-tehniki okuw mekdebi,2,9,,6,,3,,,8,1,3,6,5,1,1,1,1,1,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
43,,Mary welaýatynyň häkimliginiň Ýolöten etrabyndaky hünär-tehniki okuw mekdebi,1,150,132,15,,3,,135,14,1,15,135,1,1,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
44,,Türkmengala etrap häkimliginiň hünär-tehniki okuw mekdebi,1,54,47,4,,3,,47,6,1,19,35,1,1,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
45,,Türkmenabat şäher häkimliginiň Türkmenistanyň Gahrymany Gurbansoltan eje adyndaky 1-nji hünär-tehniki okuw mekdebi,7,239,176,35,8,20,,130,90,19,39,200,8,9,1,1,1,1,,1,,,,,1,,,,1,,1,2,1,1,1,,1,,,,,1,,,,1,,1
